Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-05,Madhya Pradesh,792580,781936,10522,0,18830083
2021-10-05,Mizoram,99856,84987,331,0,1123455
2021-10-05,Nagaland,31342,29358,666,1004,377900
2021-10-05,Odisha,1028819,1016165,8276,0,20295168
2021-10-05,Punjab,601752,584966,16525,0,14678042
2021-10-05,Puducherry,126669,124183,1843,0,1820569
2021-10-05,Rajasthan,954343,945337,8954,0,14445120
2021-10-05,Sikkim,31561,30436,388,316,251299
2021-10-05,Telangana,666971,658657,3924,0,26589959
2021-10-05,Tamil Nadu,2671411,2618980,35682,0,47745420
2021-10-05,Tripura,84189,83149,812,63,1919066
2021-10-05,India,33870398,33168072,449568,13071,576803867
2021-10-05,Uttar Pradesh,1709893,1686844,22896,0,79603552
2021-10-05,Uttarakhand,343596,329946,7395,6106,7462839
2021-10-05,West Bengal,1572460,1546037,18848,0,18325212
2021-10-06,Andaman and Nicobar Islands,7627,7488,129,0,562716
2021-10-06,Andhra Pradesh,2054663,2031681,14228,0,28564548
2021-10-06,Arunachal Pradesh,54812,54108,279,0,1156591
2021-10-06,Assam,603923,593775,5903,1347,23826192
2021-10-06,Bihar,725975,716285,9661,1,46919129
2021-10-06,Chandigarh,65252,64391,820,0,750943
2021-10-06,Chhattisgarh,1005440,991662,13568,0,13240189
2021-10-06,Delhi,1439053,1413611,25088,0,28012417
2021-10-06,Dadra and Nagar Haveli and Daman and Diu,10675,10638,4,31,72410
2021-10-06,Goa,176864,172770,3322,0,1378403
2021-10-06,Gujarat,826060,815794,10084,0,29677613
2021-10-06,Himachal Pradesh,219919,214751,3674,17,3508935
2021-10-06,Haryana,770949,760801,9875,0,12545328
2021-10-06,Jharkhand,348287,343069,5135,0,15060379
2021-10-06,Jammu and Kashmir,330118,324627,4426,0,15139495
2021-10-06,Karnataka,2979331,2929629,37854,29,48339815
2021-10-06,Kerala,4751407,4602600,25811,529,35873650
2021-10-06,Ladakh,20831,20574,208,0,541465
2021-10-06,Lakshadweep,10364,10267,51,43,256995
2021-10-06,Maharashtra,6567791,6391662,139362,3586,59619637
2021-10-06,Meghalaya,82068,79346,1412,0,1092795
2021-10-06,Manipur,121462,117810,1875,0,1315733
2021-10-06,Madhya Pradesh,792596,781953,10522,0,18892699
2021-10-06,Mizoram,101327,86213,335,0,1133032
2021-10-06,Nagaland,31373,29390,667,1005,378887
2021-10-06,Odisha,1029412,1016594,8280,0,20366917
2021-10-06,Punjab,601782,584992,16526,0,14710558
2021-10-06,Puducherry,126742,124259,1844,0,1825302
2021-10-06,Rajasthan,954347,945344,8954,0,14464626
2021-10-06,Sikkim,31585,30498,388,316,251731
2021-10-06,Telangana,667158,658827,3925,0,26629120
2021-10-06,Tamil Nadu,2672843,2620499,35707,0,47890758
2021-10-06,Tripura,84201,83172,812,63,1922302
2021-10-06,India,33893003,33192682,449884,13073,578657484
2021-10-06,Uttar Pradesh,1709902,1686857,22896,0,79603552
2021-10-06,Uttarakhand,343618,329953,7396,6106,7478809
2021-10-06,West Bengal,1573246,1546792,18863,0,18362325
2021-10-07,Andaman and Nicobar Islands,7629,7489,129,0,564433
2021-10-07,Andhra Pradesh,2055306,2032520,14236,0,28612576
2021-10-07,Arunachal Pradesh,54844,54146,279,0,1158462
2021-10-07,Assam,604218,594163,5911,1347,23871646
2021-10-07,Bihar,725979,716286,9661,1,47054417
2021-10-07,Chandigarh,65268,64408,820,0,753073
2021-10-07,Chhattisgarh,1005464,991681,13568,0,13259754
2021-10-07,Delhi,1439097,1413626,25088,0,28076496
2021-10-07,Dadra and Nagar Haveli and Daman and Diu,10675,10638,4,31,72410
2021-10-07,Goa,176924,172822,3323,0,1382263
2021-10-07,Gujarat,826080,815816,10085,0,29736931
2021-10-07,Himachal Pradesh,220061,214962,3678,17,3516423
2021-10-07,Haryana,770961,760813,9875,0,12567886
2021-10-07,Jharkhand,348314,343078,5135,0,15096744
2021-10-07,Jammu and Kashmir,330252,324736,4426,0,15191409
2021-10-07,Karnataka,2979773,2930264,37861,29,48462462
2021-10-07,Kerala,4763695,4618408,25952,529,35972962
2021-10-07,Ladakh,20843,20578,208,0,542468
2021-10-07,Lakshadweep,10364,10267,51,43,257294
